name,email,password,department,year,photo_url
Cheryl Lucas,cheryllucas24it@vetias.ac.in,hiTnWuDS,IT,1st,https://picsum.photos/706/201
Bryan Coffey,bryancoffey22soc@vetias.ac.in,kLl3*[S|,Sociology,3rd,https://dummyimage.com/402x150
Joseph Valdez,josephvaldez23ca@vetias.ac.in,lY1m9m#J,CA,2nd,https://picsum.photos/998/766
Jonathan Garcia,jonathangarcia22bba@vetias.ac.in,Zkh+g/oi,BBA,3rd,https://placekitten.com/1002/562
Maria Williams,mariawilliams24soc@vetias.ac.in,",A@p:wMG",Sociology,1st,https://picsum.photos/482/736
Gregory Simpson,gregorysimpson24ca@vetias.ac.in,qA&&SuNv,CA,1st,https://picsum.photos/366/881
Jamie Jimenez,jamiejimenez24it@vetias.ac.in,EwQ7TwV^,IT,1st,https://placekitten.com/380/868
Colton Cook,coltoncook22aid@vetias.ac.in,}'g%PaYs,AIDS,3rd,https://placekitten.com/790/631
Kelly Crosby,kellycrosby22aid@vetias.ac.in,p3.cr16#,AIDS,3rd,https://placekitten.com/799/636
Zachary Kelley,zacharykelley23bco@vetias.ac.in,dG;L!;I4,BCom,2nd,https://placekitten.com/1008/416
Brian Newman,briannewman22soc@vetias.ac.in,?+MlSf<|,Sociology,3rd,https://picsum.photos/386/706
Kelly Phillips,kellyphillips22ca@vetias.ac.in,"3[4;,1g6",CA,3rd,https://dummyimage.com/869x218
Elijah Wood,elijahwood24soc@vetias.ac.in,H@u+-(|),Sociology,1st,https://placekitten.com/418/512
Sean Brewer,seanbrewer22bba@vetias.ac.in,NcergC$Y,BBA,3rd,https://dummyimage.com/377x879
Jacqueline Ritter,jacquelineritter23bba@vetias.ac.in,jQPcKE_\,BBA,2nd,https://dummyimage.com/345x695
Marissa Conway,marissaconway23it@vetias.ac.in,q]acdR-9,IT,2nd,https://dummyimage.com/997x1008
Jared Estrada,jaredestrada24aid@vetias.ac.in,/6$kTu(n,AIDS,1st,https://picsum.photos/156/150
Matthew Hall PhD,matthewhallphd23aid@vetias.ac.in,G*]_dgyR,AIDS,2nd,https://placekitten.com/156/970
Kelly Miller,kellymiller24bba@vetias.ac.in,iS$<9D%@,BBA,1st,https://dummyimage.com/831x24
Carol Foster,carolfoster23soc@vetias.ac.in,"\)w{3,%o",Sociology,2nd,https://placekitten.com/349/634
Howard White,howardwhite23soc@vetias.ac.in,B\7P'4la,Sociology,2nd,https://placekitten.com/231/31
Andrea Marshall,andreamarshall24aid@vetias.ac.in,"l.""A-}/l",AIDS,1st,https://picsum.photos/707/350
Jeremy Martin,jeremymartin24ca@vetias.ac.in,q_SS2v|9,CA,1st,https://placekitten.com/776/269
Corey Wood,coreywood22it@vetias.ac.in,"@4a""ccc""",IT,3rd,https://placekitten.com/574/774
Lisa Bowers,lisabowers22it@vetias.ac.in,i=I+3*(`,IT,3rd,https://picsum.photos/387/72
Gregory Wilson,gregorywilson23ca@vetias.ac.in,XyzpDDr\,CA,2nd,https://dummyimage.com/128x658
